player_id, sessions, session_time, words, rounds_completed, stars_gained, energy_spent, energy_left, win_ratio, total_games, friends, grind_spent, grind_earned, premium_left, premium_earned, premium_spent, lottery_wins, diffuculty, grind_left, level, dollars, playeractivity
8250900,4,3,1,0,115,811,1500,0,0,0,0,0,0,1,1,0,0,0,2,9,Churned
7271390,0,3,1,0,0,1271,400,0,0,0,0,0,0,1,1,1,0,0,1,4,Churned
3271250,3,10,1,0,1500,5027,0,0,0,0,5,0,0,2,1,1,0,0,14,4,Churned
728758,1,11,0,6000,10000,13061,7000,0,0,0,0,0,0,0,0,0,1,0,12,7,Churned
5732530,3,14,1,300,0,201545,400,0,0,0,5,0,0,2,1,0,0,0,23,22,Churned
4732410,0,4,3,450,0,1387,400,0,0,0,0,0,0,0,2,1,0,0,0,0,Churned
1732390,0,0,1,0,0,2585,400,0,0,0,0,0,0,0,0,2,0,0,12,5,Churned
4714190,1,9,2,0,150,7137,400,0,0,0,0,0,0,2,0,1,0,0,18,12,Churned
2289600,1,3,2,0,112,1020,400,0,0,0,0,0,0,0,0,1,0,0,8,14,Churned
5710560,3,14,2,0,0,5322,18301,0,0,0,0,0,0,2,0,1,0,0,14,11,Churned
6153350,0,6,0,0,0,321910,1900,0,0,1,0,0,1,1,1,1,0,0,3,9,Churned
153334,2,13,2,0,1150,7496,3100,0,0,0,0,0,0,2,0,1,0,0,16,5,Churned
1153350,2,13,2,750,0,17200,33100,0,1,0,0,0,0,0,1,4,0,0,23,10,Churned
7293240,0,12,1,40000,300,6360,13900,0,0,0,0,0,0,2,2,1,0,0,7,8,Churned
6293240,1,7,0,12500,5000,11564,400,0,0,0,0,0,0,1,0,0,0,0,1,12,Churned
3414110,0,21,9,0,60873,8462,39499,0,0,0,0,0,1,4,2,3,0,0,20,39,Churned
3585910,8,9,1,25,1125,10728,43851,0,0,0,0,0,0,0,0,5,0,0,38,12,Churned
3585910,0,2,2,0,0,1702,400,0,0,0,0,0,0,0,1,2,0,0,1,3,Churned
3028830,2,14,1,0,0,45950,100,0,0,0,0,0,0,0,2,1,0,0,0,18,Churned
3028830,1,4,1,0,0,529,9000,0,0,0,0,0,0,0,1,0,0,0,0,1,Churned
28831,6,10,4,0,0,8452,8600,0,0,0,0,0,0,1,1,5,0,0,14,20,Churned
